用例编号,所属产品,所属模块,用例名称,前置条件,步骤,预期,测试数据清理顺序,测试数据是否可复用
IMS_AUTO_001,曙光云Stack,资源中心/计算/云服务器/镜像服务,镜像服务入口验证,"1. 准备可登录云平台的系统管理员账号1个。
2. 准备可登录云平台的租户账号1个。
3. 租户账号所属项目已有镜像服务访问权限。","【自动化注意事项】
1. 测试中禁止直接写URL，统一通过 goto_service(""镜像服务"") 或菜单导航进入。
2. admin与租户登录态建议分别使用独立 browser_context，避免角色权限互相污染。

1. 使用系统管理员账号登录云平台。
2. 尝试在运维管理OPS相关菜单中查找镜像入口。
3. 进入""资源中心→计算→云服务器→镜像服务""页面。
4. 等待镜像列表加载完成，检查页面标题、表格或空状态是否出现。
5. 切换为租户账号登录云平台。
6. 进入""资源中心→计算→云服务器→镜像服务""页面。
7. 检查租户侧镜像服务页签或分类入口。","1. OPS运维管理侧不展示镜像服务入口。
2. admin可成功进入镜像服务列表页，并可查看全部镜像列表或空状态。
3. 租户可成功进入镜像服务页面。
4. 租户侧页面按镜像范围分为公有镜像、私有镜像、共享镜像，或等价展示为全局共享、指定共享、私有镜像页签。
5. 页面无控制台错误导致的白屏、加载失败或权限错误提示。","无新增测试数据。退出登录或关闭页面即可。",是
IMS_AUTO_002,曙光云Stack,资源中心/计算/云服务器/镜像服务,admin-镜像服务列表信息展示,"1. 准备可登录云平台的系统管理员账号1个。
2. 镜像服务列表至少存在11条镜像；若不足11条，用后台fixture通过 scli/glance 创建补足。
3. 列表中至少包含弹性云服务器/安全云服务器、裸金属（本地盘）、裸金属（云盘）类型镜像。","【自动化注意事项】
1. 测试数据名称使用 random_data() 或固定前缀 ims-auto-list-，便于搜索与清理。
2. 搜索、筛选、分页断言需在每个动作后等待列表loading结束。

1. admin登录云平台，进入""资源中心→计算→云服务器→镜像服务""页面。
2. 等待列表加载完成，记录列表总条数。
3. 校验默认展示字段依次包含：名称、状态、容量、镜像格式、加密、存储池、操作系统类型、版本、CPU架构、启动类型、描述、创建时间。
4. 点击表格齿轮/列设置按钮，校验默认隐藏字段包含：保护状态、网卡多队列、类型、海光特性、位数。
5. 点击刷新按钮，等待列表出现loading并重新加载完成。
6. 校验搜索区存在关键字输入框、搜索按钮、重置按钮。
7. 输入包含中文、英文大小写、数字、横线、下划线、小数点的镜像名称关键字，点击搜索。
8. 输入镜像名称的部分字符搜索。
9. 输入完整镜像名称搜索。
10. 清空输入框直接搜索。
11. 使用有效字符搜索后点击重置按钮。
12. 打开列表类型筛选下拉框，依次选择：云服务器实例、裸金属（本地盘）、裸金属（云盘）。
13. 检查分页组件：10条/页、20条/页、50条/页、100条/页、总条数、上一页、下一页、前往X页。
14. 当总条数大于10时，点击下一页、上一页、前往指定页。","1. 成功进入admin镜像服务列表页。
2. 默认展示字段完整，无字段缺失。
3. 默认隐藏字段完整，列设置弹窗或下拉项可正常打开。
4. 刷新时出现loading效果，刷新后列表可正常展示数据。
5. 搜索栏位展示完整。
6. 使用特殊组合关键字、部分名称、完整名称搜索时，列表只展示符合条件的数据。
7. 空搜索时列表恢复展示所有数据。
8. 点击重置后输入框被清空，列表恢复展示所有数据。
9. 类型筛选下拉项包含全部、云服务器实例、裸金属（本地盘）、裸金属（云盘）。
10. 选择云服务器实例时，列表展示弹性云服务器及安全云服务器镜像。
11. 选择裸金属（本地盘）时，列表只展示对应类型镜像。
12. 选择裸金属（云盘）时，列表只展示对应类型镜像。
13. 分页组件展示正确，总条数与列表数据一致，翻页和跳页均正常。","如测试前通过fixture补充镜像，按创建顺序反向删除：
1. 删除补充创建的镜像。
2. 使用 ssh_host.run(""scli image list"") 或 wait_image_deleted 确认镜像已清理。
未创建数据时无需清理。",是
IMS_AUTO_003,曙光云Stack,资源中心/计算/云服务器/镜像服务,租户-私有镜像列表信息展示,"1. 准备可登录云平台的租户账号1个。
2. 该租户项目下至少存在11条私有镜像；若不足11条，通过fixture创建私有镜像补足。
3. 私有镜像中至少包含云服务器实例/安全云服务器、裸金属（本地盘）、裸金属（云盘）类型。","【自动化注意事项】
1. 优先复用已有私有镜像；不足数据时由 private_image fixture 创建并记录名称。
2. 列表搜索和筛选操作完成后必须重置，避免影响后续用例。

1. 租户登录云平台，进入""资源中心→计算→云服务器→镜像服务→私有镜像""页面。
2. 等待私有镜像列表加载完成。
3. 校验默认展示字段依次包含：名称、状态、容量、镜像格式、加密、存储池、操作系统类型、版本、CPU架构、启动类型、描述、创建时间。
4. 点击齿轮/列设置按钮，校验默认隐藏字段包含：保护状态、网卡多队列、类型、海光特性、位数。
5. 点击私有镜像页签或刷新按钮，等待列表loading结束。
6. 校验右上角搜索栏位包含关键字输入框、搜索按钮、重置按钮。
7. 使用包含中文、英文大小写、数字、横线、下划线、小数点的私有镜像名称关键字搜索。
8. 使用镜像名称部分字符搜索。
9. 使用镜像完整名称搜索。
10. 空输入搜索。
11. 搜索后点击重置。
12. 打开类型筛选下拉框，依次选择云服务器实例、裸金属（本地盘）、裸金属（云盘）。
13. 当列表总数大于10时，验证分页展示、下一页、上一页、前往X页。","1. 成功进入租户私有镜像列表。
2. 默认展示字段完整，字段名称与预期一致。
3. 默认隐藏字段完整。
4. 刷新后列表可正常展示，loading消失。
5. 搜索栏位完整。
6. 关键字搜索、部分名称搜索、完整名称搜索均只展示符合条件的数据。
7. 空搜索和重置后恢复展示所有私有镜像。
8. 筛选项包含全部、云服务器实例、裸金属（本地盘）、裸金属（云盘）。
9. 各类型筛选结果与所选类型一致。
10. 分页总数、页码和跳转行为正确。","如fixture创建私有镜像，清理顺序：
1. 删除本用例创建的私有镜像。
2. 等待后端镜像删除完成。
3. 重置列表搜索和筛选条件。
未创建数据时无需清理。",是
IMS_AUTO_004,曙光云Stack,资源中心/计算/云服务器/镜像服务,租户-全局共享镜像列表信息展示,"1. 准备可登录云平台的租户账号1个。
2. 环境中至少存在11条对该租户可见的全局共享镜像。
3. 全局共享镜像中至少包含云服务器实例/安全云服务器、裸金属（本地盘）、裸金属（云盘）类型。","【自动化注意事项】
1. 如果环境全局共享镜像不足，可由admin fixture预置全局共享镜像，再切换租户验证。
2. 全局共享镜像列表一般无操作列，自动化需要显式断言操作列不存在或为空。

1. 租户登录云平台，进入""资源中心→计算→云服务器→镜像服务→全局共享镜像""页面。
2. 等待列表加载完成。
3. 校验默认展示字段依次包含：名称、状态、容量、镜像格式、加密、存储池、操作系统类型、版本、CPU架构、启动类型、描述、创建时间。
4. 点击齿轮/列设置按钮，校验默认隐藏字段包含：保护状态、网卡多队列、类型、海光特性、位数。
5. 刷新全局共享镜像列表，等待loading结束。
6. 校验搜索栏位包含关键字输入框、搜索按钮、重置按钮。
7. 使用特殊组合名称关键字、部分名称、完整名称分别搜索。
8. 空输入搜索后再使用有效关键字搜索并点击重置。
9. 打开类型筛选下拉框，依次选择云服务器实例、裸金属（本地盘）、裸金属（云盘）。
10. 检查列表是否无操作列。
11. 当总数大于10时，验证分页组件和翻页跳页。","1. 成功进入全局共享镜像列表。
2. 默认展示字段完整，默认隐藏字段完整。
3. 刷新后列表正常展示。
4. 搜索栏位完整。
5. 各类名称搜索只展示符合条件的数据。
6. 空搜索和重置后恢复展示所有全局共享镜像。
7. 筛选项包含全部、云服务器实例、裸金属（本地盘）、裸金属（云盘）。
8. 云服务器实例筛选展示弹性云服务器及安全云服务器镜像。
9. 裸金属（本地盘）和裸金属（云盘）筛选结果正确。
10. 全局共享镜像列表无操作列。
11. 分页组件展示和跳转行为正确。","如admin fixture创建全局共享镜像，清理顺序：
1. 切换admin账号，将共享镜像删除或恢复原共享状态。
2. 后端确认镜像不存在或共享状态恢复。
3. 租户侧重置搜索和筛选。
未创建数据时无需清理。",是
IMS_AUTO_005,曙光云Stack,资源中心/计算/云服务器/镜像服务,镜像操作顺序调整-页面验证,"1. 准备可登录云平台的系统管理员账号1个。
2. 准备可登录云平台的租户账号1个。
3. admin镜像列表存在至少1条可操作镜像。
4. 租户私有镜像列表存在至少1条可操作私有镜像。","【自动化注意事项】
1. 操作列可能需要先hover或点击更多按钮，Page Object中应封装 image_open_action_menu(image_name)。
2. 全局共享和指定共享列表预期无操作列，不要误点设置按钮当作操作列。

1. admin登录云平台，进入""资源中心→计算→云服务器→镜像服务""页面。
2. 搜索并定位一条可操作镜像。
3. 点击该镜像操作列或更多按钮，读取操作项顺序。
4. 关闭操作菜单。
5. 租户登录云平台，进入""镜像服务→全局共享镜像""页面。
6. 检查列表是否无操作列。
7. 点击页面设置/列设置按钮，确认不会出现镜像操作项。
8. 进入""镜像服务→指定共享镜像""页面。
9. 检查列表是否无操作列。
10. 点击页面设置/列设置按钮，确认不会出现镜像操作项。
11. 进入""镜像服务→私有镜像""页面。
12. 搜索并定位一条可操作私有镜像。
13. 点击该镜像操作列或更多按钮，读取操作项顺序。","1. admin镜像列表进入成功。
2. admin侧镜像操作项顺序为：修改、修改保护状态、同步存储池、删除、设置共享模式、上传、下载。
3. 租户全局共享镜像页进入成功，列表无操作列。
4. 租户全局共享页的设置/列设置不展示镜像操作项。
5. 租户指定共享镜像页进入成功，列表无操作列。
6. 租户指定共享页的设置/列设置不展示镜像操作项。
7. 租户私有镜像页进入成功。
8. 租户私有镜像操作项顺序为：修改、修改保护状态、同步存储池、上传、下载、删除。","无新增测试数据。
如fixture创建了可操作镜像：
1. 删除租户私有镜像。
2. 删除admin预置镜像。
3. 后端确认镜像删除完成。",是
IMS_AUTO_006,曙光云Stack,资源中心/计算/云服务器/镜像服务,admin-创建镜像-页面校验,"1. 准备可登录云平台的系统管理员账号1个。
2. 环境已对接至少1个可用存储池。
3. 环境存在操作系统类型、版本、位数、CPU架构、启动类型等基础字典数据。","【自动化注意事项】
1. 本用例只做页面校验，不提交创建；如误触发上传或创建必须立即清理。
2. 名称校验使用 random_data() 生成合法名称，再分别构造非法名称。
3. 上传文件选择只验证控件可用性，不依赖真实大文件上传。

1. admin登录云平台，进入""资源中心→计算→云服务器→镜像服务""页面。
2. 点击""新建""或""新建镜像""按钮。
3. 校验新建页面字段依次包含：镜像名称、镜像类型、架构、操作系统、存储池、启动类型、高级配置、镜像上传方式。
4. 校验页面底部提示信息：建议镜像超过5GiB选择快速上传方式来获取授权码在客户端中快速上传镜像。
5. 在镜像名称输入框输入小于2位字符并触发校验。
6. 输入大于64位字符并触发校验。
7. 清空名称并触发校验。
8. 输入非横线、非下划线、非小数点的特殊字符并触发校验。
9. 打开镜像类型下拉框，校验选项包含云服务器、裸金属（本地盘）、裸金属（云盘），并选择其中一项。
10. 打开架构下拉框，校验选项包含aarch64、x86_64，并选择其中一项。
11. 打开操作系统类型下拉框，校验选项包含linux、windows；选择后再切换类型。
12. 不选择操作系统类型时尝试继续或提交，观察必填校验与操作系统版本下拉数据。
13. 打开操作系统版本下拉框，选择一个适配版本；清空后触发必填校验。
14. 打开操作系统位数下拉框，校验32位、64位并选择。
15. 查看存储池默认回显，打开存储池下拉框并选择一个存储池。
16. 查看启动类型默认值，打开下拉框校验UEFI、Legacy并选择。
17. 展开高级配置，分别打开/关闭海光定制镜像、机密内存、是否受保护、网卡多队列、机密镜像。
18. 校验机密内存在UEFI+x86时可打开，在Legacy+x86、UEFI+arm时置灰不可打开。
19. 校验机密镜像在xstor/usan/xbd存储+x86架构时需选择密钥，在非适配存储或arm架构时置灰。
20. 选择标准上传，校验上传区域、格式转换说明、点击上传入口和拖拽上传区域存在。
21. 选择快速上传，校验流程引导、提示信息、下载客户端按钮、复制授权码按钮。
22. 关闭新建页面或点击取消。","1. 成功打开admin新建镜像页面。
2. 页面字段完整且顺序符合预期。
3. 底部提示信息完整可见。
4. 镜像名称小于2位或大于64位时提示名称长度在2~64个字符之间。
5. 名称为空时提示名称必填。
6. 名称包含非法特殊字符时提示只支持中文、英文大小写、数字、横线、下划线、小数点。
7. 镜像类型、架构、操作系统类型、操作系统版本、操作系统位数、存储池、启动类型下拉选项完整，选择后正确回显。
8. 切换操作系统类型后，操作系统版本字段被清空并按新类型重新加载。
9. 未选择必填项时展示对应必填校验。
10. 存储池默认回显默认存储池，存储池下拉展示环境已对接存储池。
11. 启动类型默认回显UEFI，下拉包含UEFI、Legacy。
12. 海光定制镜像、是否受保护、网卡多队列开关可按预期打开/关闭。
13. 机密内存和机密镜像在适配条件下可用，在不适配条件下置灰不可打开。
14. 标准上传区域展示拖拽/点击上传入口和格式说明。
15. 快速上传展示三步流程引导、客户端下载入口和授权码复制入口。
16. 取消后返回镜像列表，未产生新镜像。","正常情况下无新增测试数据。
如误创建镜像：
1. 搜索误创建的镜像名称。
2. 删除镜像。
3. 后端确认镜像已删除。",是
IMS_AUTO_007,曙光云Stack,资源中心/计算/云服务器/镜像服务,admin-导入镜像-页面校验,"1. 准备可登录云平台的系统管理员账号1个。
2. 环境已对接至少1个可用存储池。
3. 准备1个合法镜像URL样例和1个非法URL样例，仅用于页面校验，不实际提交导入。","【自动化注意事项】
1. 本用例只校验导入页面，不点击最终提交导入。
2. URL字段建议校验空值、非法URL、合法URL回显。
3. 与新建镜像共用字段校验可抽成 helper，避免重复代码。

1. admin登录云平台，进入""资源中心→计算→云服务器→镜像服务""页面。
2. 点击""导入""按钮。
3. 校验导入页面字段依次包含：镜像URL、镜像名称、镜像类型、架构、操作系统、存储池、启动类型、高级配置、镜像上传方式。
4. 校验底部提示信息：建议镜像超过5GiB选择快速上传方式来获取授权码在客户端中快速上传镜像。
5. 校验镜像URL字段为空时的必填提示。
6. 输入非法URL并触发校验。
7. 输入合法URL样例，校验输入框正确回显。
8. 在镜像名称输入框依次输入小于2位、大于64位、空值、非法特殊字符并触发校验。
9. 打开镜像类型下拉框，校验云服务器、裸金属（本地盘）、裸金属（云盘）并选择。
10. 打开架构下拉框，校验aarch64、x86_64并选择。
11. 打开操作系统类型下拉框，校验linux、windows；选择后切换类型并检查版本字段清空。
12. 打开操作系统版本下拉框，选择适配版本；清空后触发必填校验。
13. 打开操作系统位数下拉框，校验32位、64位并选择。
14. 查看存储池默认回显，打开存储池下拉框并选择。
15. 查看启动类型默认值，打开下拉框校验UEFI、Legacy并选择。
16. 展开高级配置，分别验证海光定制镜像、机密内存、是否受保护、网卡多队列、机密镜像开关状态。
17. 校验机密内存和机密镜像在不同架构/启动类型/存储池组合下的可用或置灰状态。
18. 点击下一步或查看导入说明区域，校验导入格式转换提示。
19. 点击取消关闭导入页面。","1. 成功打开admin导入镜像页面。
2. 字段完整且顺序符合预期。
3. 底部快速上传建议提示完整可见。
4. 镜像URL为空或非法时展示对应校验，合法URL可正常回显。
5. 镜像名称校验与新建页面一致：长度2~64、必填、字符集限制。
6. 镜像类型、架构、操作系统类型、版本、位数、存储池、启动类型下拉选项完整，选择后正确回显。
7. 切换操作系统类型后操作系统版本字段清空并重新加载。
8. 存储池默认回显默认存储池，启动类型默认回显UEFI。
9. 高级配置开关可按适配规则打开、关闭或置灰。
10. 导入说明展示：VMDK/VHD/VHDX导入到不同存储的格式转换规则、qcow2导入到XStor/Xbd/Ceph/Zbs转raw规则、导入过程可在上传记录查看。
11. 取消后返回镜像列表，未产生导入记录和新镜像。","正常情况下无新增测试数据。
如误提交导入：
1. 打开上传记录确认导入任务。
2. 删除导入生成的镜像。
3. 后端确认镜像已删除。",是
IMS_AUTO_008,曙光云Stack,资源中心/计算/云服务器/镜像服务,admin-镜像修改-页面校验,"1. 准备可登录云平台的系统管理员账号1个。
2. 镜像列表存在1条状态可用、未受保护、可修改的镜像。
3. 若环境无合适镜像，通过fixture创建测试镜像，名称使用 ims-auto-modify-*。","【自动化注意事项】
1. 本用例以页面校验为主，最后点击取消，不提交修改。
2. 修改弹窗字段回显需先记录列表行或后端镜像信息，用于比对。

1. admin登录云平台，进入""资源中心→计算→云服务器→镜像服务""页面。
2. 搜索并定位目标镜像，记录镜像名称、架构、操作系统类型、版本、位数、网卡多队列、海光特性、内存加密等当前值。
3. 点击目标镜像操作列""修改""。
4. 校验弹窗标题为""修改""。
5. 校验页面字段依次为：镜像名称、架构、操作系统、高级配置（内存加密、海光特性、网卡多队列）。
6. 校验各字段默认回显与步骤2记录一致。
7. 镜像名称输入小于2位字符并触发校验。
8. 输入大于64位字符并触发校验。
9. 清空名称并触发校验。
10. 输入非横线、非下划线、非小数点的特殊字符并触发校验。
11. 打开架构下拉框，校验包含aarch64、x86_64，并选择一个不同架构或原架构。
12. 打开操作系统版本下拉框，校验展示已适配版本并选择。
13. 打开操作系统位数下拉框，校验包含32位、64位并选择。
14. 打开并关闭网卡多队列，查看提示信息。
15. 打开并关闭海光特性。
16. 查看内存加密字段状态。
17. 点击取消关闭修改弹窗。
18. 回到列表，重新搜索目标镜像，确认镜像信息未被本用例修改。","1. 可打开目标镜像修改弹窗，标题为""修改""。
2. 修改弹窗字段完整，默认回显正确。
3. 镜像名称小于2位或大于64位时提示名称长度在2~64个字符之间。
4. 名称为空时提示名称必填。
5. 名称包含非法特殊字符时提示只支持中文、英文大小写、数字、横线、下划线、小数点。
6. 架构下拉展示aarch64、x86_64，选择后正确回显。
7. 操作系统版本下拉展示已适配版本，选择后正确回显。
8. 操作系统位数下拉展示32位、64位，选择后正确回显。
9. 网卡多队列可打开/关闭，并展示提示：Windows暂不支持商用网卡多队列、开启可能影响启动速度、队列数不超过CPU数量且不大于8、下次启动生效。
10. 海光特性可打开/关闭。
11. 内存加密置灰不可修改。
12. 点击取消后弹窗关闭，列表中目标镜像信息未被修改。","如fixture创建测试镜像，清理顺序：
1. 删除 ims-auto-modify-* 镜像。
2. 后端确认镜像删除完成。
未创建数据时无需清理。",是
IMS_AUTO_009,曙光云Stack,资源中心/计算/云服务器/镜像服务,镜像详情页存储池页签提示信息及删除按钮状态验证,"1. 准备可登录云平台的系统管理员账号1个。
2. 准备1个目标镜像，详情页""基本信息""中存在""存储池""字段。
3. 目标镜像""存储池""页签至少包含3条记录：
   3.1 存储池A：与基本信息中的""存储池""字段值一致，为当前默认存储池，且存在Hash值。
   3.2 存储池B：有Hash值，名称与基本信息中的""存储池""字段值不一致，为非默认存储池。
   3.3 存储池C：Hash为空或""-""，名称与基本信息中的""存储池""字段值不一致，为非location存储池。
4. 目标镜像处于可查看详情状态。","【自动化注意事项】
1. 目标镜像和存储池关系建议通过 image_with_storage_pool fixture 预置。
2. 本用例只做详情页状态断言，不点击删除或同步数据。

1. admin登录云平台，进入""资源中心→计算→云服务器→镜像服务""页面。
2. 搜索目标镜像名称，等待列表只展示或高亮目标镜像。
3. 点击镜像名称进入详情页。
4. 在详情页""基本信息""区域读取""存储池""字段值，记为默认存储池A。
5. 点击""存储池""页签。
6. 校验页签上方提示信息：仅拥有 Hash 值的存储池可删除镜像；如果当前存储池没有 Hash 值，请点击【同步数据】按钮进行生成。
7. 校验存储池列表字段包含：名称、物理机、类型、状态、进度、Hash、操作。
8. 在存储池列表中查找名称等于默认存储池A的记录。
9. 查找非默认且Hash非空的存储池B记录。
10. 校验存储池B的Hash列为非空具体值，删除按钮可点击。
11. 查找非默认且Hash为空或""-""的存储池C记录。
12. 校验存储池C删除按钮为灰置不可点击，同时存在""同步数据""入口。
13. 刷新详情页后重新进入""存储池""页签，重复校验关键字段和按钮状态。","1. 可成功进入目标镜像详情页。
2. 基本信息中存在""存储池""字段，并可读取默认存储池名称。
3. 存储池页签提示信息完整可见。
4. 存储池列表字段无缺失，包含名称、物理机、类型、状态、进度、Hash、操作。
5. 与基本信息""存储池""字段同名的默认存储池记录存在，且存在Hash值。
6. 存储池B的Hash列为非空具体值，删除按钮可点击。
7. 存储池C的Hash列为空或""-""，删除按钮灰置不可点击，""同步数据""入口可见。
8. 刷新后页面状态保持一致。","本用例不修改数据，无需清理。
如fixture临时创建了镜像或存储池同步关系：
1. 删除临时同步的非默认存储池关系。
2. 删除临时镜像。
3. 后端确认镜像和关联关系清理完成。",是
IMS_AUTO_010,曙光云Stack,资源中心/计算/云服务器/镜像服务,租户-私有镜像操作-修改保护状态,"1. 准备可登录云平台的租户账号1个。
2. 租户私有镜像列表存在1条状态可用、未受保护、可删除的私有镜像。
3. 若无合适镜像，通过 private_image fixture 创建，名称使用 ims-auto-protect-*。
4. 记录目标镜像UUID，用于后端校验。","【自动化注意事项】
1. 本用例会修改保护状态，必须在清理阶段恢复未受保护或删除测试镜像。
2. 删除按钮状态断言应只检查可点击/置灰，不实际删除目标镜像。

1. 租户登录云平台，进入""资源中心→计算→云服务器→镜像服务→私有镜像""页面。
2. 搜索目标私有镜像，记录列表中的保护状态。
3. 点击目标镜像操作列""修改保护状态""。
4. 不修改任何信息，直接点击确定。
5. 等待确定按钮loading结束，弹窗关闭。
6. 在列表中校验目标镜像保护状态仍为未受保护。
7. 点击镜像名称进入详情页，校验详情页保护状态为未受保护。
8. 返回私有镜像列表，打开目标镜像操作列，校验""删除""按钮未置灰、可点击。
9. 再次点击""修改保护状态""。
10. 在弹窗中修改为受保护状态并点击确定。
11. 等待页面提示修改成功，弹窗关闭。
12. 在列表中校验目标镜像保护状态为受保护。
13. 点击镜像名称进入详情页，校验详情页保护状态为受保护。
14. 返回私有镜像列表，打开目标镜像操作列，校验""删除""按钮置灰不可点击。
15. 使用 ssh_host 执行 glance image-show <目标镜像UUID> 或 scli image show，校验后端保护属性与页面一致。","1. 第一次不修改直接确定后，按钮出现loading并正常结束，弹窗关闭。
2. 目标私有镜像列表保护状态仍为未受保护。
3. 详情页保护状态为未受保护。
4. 未受保护状态下，删除按钮未置灰，可点击。
5. 修改为受保护后，页面提示修改成功。
6. 列表保护状态更新为受保护。
7. 详情页保护状态更新为受保护。
8. 受保护状态下，删除按钮置灰不可点击。
9. 后端镜像保护属性与页面展示一致。","清理顺序：
1. 若目标镜像为fixture创建且仍为受保护，先修改保护状态为未受保护。
2. 删除 ims-auto-protect-* 私有镜像。
3. 等待后端镜像删除完成。
4. 若使用存量镜像，则仅恢复为用例执行前的保护状态，不删除。",否
