"用例编号","所属产品","所属模块","用例名称","前置条件","步骤","预期"
"5555	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/VPN网关(#839)","VPN网关-新建-ssl类型验证-连接vpc-基础版","1.已经创建测试用的vpc，对于cidr没有特别要求
2.在该vpc下创建虚机，并且虚机ip分配正常","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->VPN网关
2. 点击创建按钮，创建vpn网关，名称、集群等各字段输入常规可用的信息
2.1. (1).类型选择ssl
2.2. (2)资源池标签选择基础版
2.3. (3).资源池选择公有网络
2.4. (4).ip地址，选择可用fip地址。其下如果没有fip地址时，需要进入公有网络模块分配
2.5. (5).客户端网段可以自定义，如17.17.17.0/24
2.6. (6).连接类型选择虚拟私有云，即需要通过vpn访问的vpc网络
2.7. (7).选择规格
2.8. 其它信息不需要调整，保持默认值，点击立即创建
2.9. 列表页，点击新建的vpn网关名称，进入详情
3. 验证创建的VPN实例前端页面各项信息展示正确
3.1. 进入VPN实例列表页，查看VPN实例各项展示信息是否正确；
3.2. 进入VPN实例详情页，查看VPN实例的各项展示信息是否正确；
4. 验证VPN实例数据是否正常
4.1. 选择创建好的VPN实例，点击“查看监控”。
4.2. 查看各项实时数据是否有数据，数据是否有异常。
","1. 页面可正常跳转到vpn网关列表页，无报错出现
2. 
2.1. ssl类型可以正常选择，选择之后显示在页面上
2.2. 可以正常选择提交
2.3. 显示该项目可见的公有网络（基础版）
2.4. 显示可以正常使用的fip地址
2.5. 
2.6. 
2.7. 
2.8. 稍等几分钟后，vpn网关创建成功，列表页vpn网关状处于运行中
2.9. 详情页可以正常显示，各状态字段显示正确
3. 
3.1. 各项展示信息正确；
3.2. 各项展示信息正确；
4. 
4.1. 进入到VPN网关实时运行数据页面
4.2. 各项数据实时展示，数据无异常。
",""
"5559	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/SSL客户端(#840)","SSL客户端-新建","1.虚拟专用网络VPN存在VPN网关，类型为SSL，且运行状态为“运行中”。
","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->SSL客户端
2. 点击新建按钮
2.1. (1).名称等字段按常规信息输入，选择准备的vpn网关
2.2. (2).过期时间选择未来的某个时间即可
2.3. (3).权限控制，填写vpn网关对应vpc的cidr信息，如172.1.0.0/24
2.4. 点击确定按钮
","1. 页面可正常跳转，无报错出现
2. 
2.1. 各项展示信息正确；
2.2. 各项展示信息正确；
2.3. 
2.4. 可以正常创建ssl客户端，列表页此ssl客户端状态正常，显示为&quot;已开启&quot;
",""
"5562	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/SSL客户端(#840)","SSL客户端-下载客户端","1.已经创建好ssl客户端","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->SSL客户端
2. 创建所需要的ssl客户端，表单输入常规信息即可
3. 点击ssl客户端列表页，操作按钮栏对应的下载客户端按钮
4. 下载完成后，双击运行安装包，保持默认选项即可
5. 客户端登录以及数据一致性验证
5.1. 选择ssl客户端,点击操作栏的下载配置文件
5.2. 打开OpenVPN,并双击打开配置文件
5.3. 登录VPN
5.4. 查看ssl客户端列表页，客户端是否显示在线状态
5.5. 点击客户端日志，查看是否正常产生日志
6. 退出Openvpn客户端，再次执行步骤5.4和步骤5.5
","1. 页面可正常跳转，无报错出现
2. 可以正常输入
3. 客户端安装程序可以正常下载到本地
4. OpenVPN客户端可以正常安装
5. 
5.1. 配置文件下载成功
5.2. 配置文件信息自动填入OpenVPN。
5.3. 登录成功。
5.4. VPN有实时数据，且各项数据正常，显示在线
5.5. 可以正常产生日志
6. 显示ssl客户端为离线状态，并且日志会显示下线时间以及流量情况统计
",""
"5563	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/SSL客户端(#840)","SSL客户端-下载配置文件","1.已经创建好ssl客户端","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->SSL客户端
2. 创建所需要的ssl客户端，表单输入常规信息即可
3. 点击ssl客户端列表页，操作栏对应的下载配置文件按钮
","1. 页面可正常跳转，无报错出现
2. 
3. 配置文件可以正常下载到本地
",""
"5579	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/SSL客户端(#840)","SSL客户端-修改路由控制","1.已经创建好vpn网关
","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->SSL客户端
2. 创建所需要的ssl客户端，表单输入常规信息即可
3. 点击ssl客户端列表页，操作栏对应的修改路由控制按钮
4. 点击+号，在新弹出的cidr输入框中输入要连接的网段信息，即需要vpn连接的vpc的cidr，如173.3.3.0/24
5. 点击确定
","1. 页面可正常跳转，无报错出现
2. 可以正常创建ssl客户端，并且列表页显示此ssl客户端状态正常
3. 页面可正常弹出，布局美观合理，初始值显示正确
4. 页面可正常弹出，布局合理，并且cidr信息可以正常输入
5. 可以正常保存，提示保存成功
",""
"5824	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/VPN通道(#402833)","VPN通道-新建","1.创建两个vpc，如vpc1和vpc2，其网段信息可以自定义，但不要相同
2.创建两个ipsec类型的vpn网关，vpn_gw1、vpn_gw2，分别连接vpc1和vpc2","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->VPN通道
2. 点击新建按钮
2.1. (1).名称等字段按常规信息输入，选择准备的vpn网关1
2.2. (2).报文封装模式选择tunnel
2.3. (3).对端网关，填写对端vpn网关的fip地址，本端网关为空即可
2.4. (4).预共享密钥，填写自定义字符串，如sugon123
2.5. (5).本端网段，即当前vpn网关1对应vpc1的网段
2.6. (6).对端网段，即连接的对端vpn网关2对应vpc2的网段
2.7. 注意：步骤2.5和2.6，通道规则有且只允许有一条
2.8. (7).其它值保持默认，不需要调整
2.9. 点击确定按钮
3. 按以上同样的步骤，为vpn网关2创建vpn通道
","1. 页面可正常跳转，无报错出现
2. 
2.1. 
2.2. 
2.3. 
2.4. 
2.5. 
2.6. 
2.7. 
2.8. 
2.9. 可以正常创建vpn通道，创建后，列表可正常显示新创建的vpn通道，并且信息准确
3. 可以正常创建vpn通道
",""
"420715	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN(#838)","vpn > 生效性验证 > ssl+vpc类型-基础版","1.已经创建测试用的vpc
2.在该vpc下创建虚机，并且虚机ip分配正常","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->VPN网关
2. 创建vpn网关，各字段输入常规值即可，类型选择ssl，资源池类型选择基础版，选择需要连接的vpc网络
3. 创建ssl客户端，选择上一步创建的vpn网关，权限控制填写该vpn网关对应vpc的cidr信息
4. ssl客户端列表页，在操作栏点击修改路由控制，填写vpc的cidr信息
5. vpn连接测试，可以点击下载客户端按钮，在自己电脑上安装vpn客户端(如果个人电脑已经安装openvpn或者tunnel blick等软件，则不需要重复安装)
6. ssl客户端，点击下载配置文件按钮
7. vpn客户端导入配置文件，并连接
8. 本地开启命令行窗口，执行命令:ping 虚机ip；虚机为vpn网关对应的vpc下的虚机
9. 在ssl客户端列表页，点击禁用证书
10. 在ssl客户端列表页，再次启用证书
","1. 页面可正常跳转，无报错出现
2. vpn网关可以正常创建，列表显示网关状态正常
3. ssl客户端可以正常创建
4. 路由控制信息可以正常添加
5. 软件可以正常安装，在本机可以打开
6. 配置文件可以正常下载
7. 配置文件可以正常生效，连接成功
8. 可以正常ping通
9. 已经在线的vpn客户端会离线，本机ping不通虚机的ip地址
10. vpn客户端上线，并且本机可以ping通虚机的ip地址
",""
"437161	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/VPN网关(#839)","VPN网关>创建功能验证-ssl+vpc类型-高级版","1.已经创建测试用的vpc，对于cidr没有特别要求
2.在该vpc下创建虚机，并且虚机ip分配正常","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->VPN网关
2. 点击创建按钮，创建vpn网关，名称、集群等各字段输入常规可用的信息
2.1. (1).类型选择ssl
2.2. (2)资源池标签选择高级版
2.3. (3).客户端网段可以自定义，如17.17.17.0/24
2.4. (4).连接类型选择虚拟私有云，即需要通过vpn访问的vpc网络
2.5. (5).选择规格
2.6. 其它信息不需要调整，保持默认值，点击立即创建
2.7. 列表页，点击新建的vpn网关名称，进入详情
3. 验证创建的VPN实例前端页面各项信息展示正确
3.1. 进入VPN实例列表页，查看VPN实例各项展示信息是否正确；
3.2. 进入VPN实例详情页，查看VPN实例的各项展示信息是否正确；
4. 验证VPN实例数据是否正常
4.1. 选择创建好的VPN实例，点击“查看监控”。
4.2. 查看各项实时数据是否有数据，数据是否有异常。
","1. 页面可正常跳转到vpn网关列表页，无报错出现
2. 
2.1. ssl类型可以正常选择，选择之后显示在页面上
2.2. 可以正常选择提交
2.3. 
2.4. 
2.5. 
2.6. 稍等几分钟后，vpn网关创建成功，列表页vpn网关状处于运行中
2.7. 详情页可以正常显示，各状态字段显示正确(没有公网IP)
3. 
3.1. 各项展示信息正确；
3.2. 各项展示信息正确；
4. 
4.1. 进入到VPN网关实时运行数据页面
4.2. 各项数据实时展示，数据无异常。
",""
"5568	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/SSL客户端(#840)","SSL客户端-启用/禁用证书","1.虚拟专用网络VPN已存在SSL客户端。
2.点击下载SSL客户端，下载完成并完成OpenVpn的安装。","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->SSL客户端
2. 创建所需要的ssl客户端，表单输入常规信息即可
3. 下载ssl客户端配置文件到本机，并导入配置文件到本机的Openvpn客户端，点击连接
4. 查看页面客户端在线状态
5. 选择在线状态为“在线”的客户端禁用证书
5.1. 选择在线状态为“在线”的客户端，点击“操作”>“禁用证书”
5.2. 查看客户端列表页
5.3. 查看客户端详情页
5.4. 查看SSL客户端日志
6. 查看页面客户端在线状态
7. 本机电脑退出openvpn
8. 选择在线状态为“离线”的客户端禁用证书
8.1. 选择在线状态为“离线”的客户端，点击“操作”>“禁用证书”
8.2. 查看客户端列表页
8.3. 查看客户端详情页
8.4. 查看SSL客户端日志
9. 再次点击启用证书
9.1. 查看客户端列表页
9.2. 查看客户端详情页
9.3. 查看SSL客户端日志
10. 本机openvpn再次连接此客户端
11. 查看SSL客户端日志
","1. 页面可正常跳转，无报错出现
2. 可以正常创建，并且列表状态显示正常
3. openvpn客户端可以正常连接
4. 状态显示在线
5. 
5.1. 此时已连接上的VPN断开连接，没有实时数据，重连连接不上。
5.2. 列表页客户端状态变为“已关闭”
5.3. 客户端状态为“已关闭”
5.4. 客户端日志页面产生日志，且数据正确
6. 状态显示离线
7. 页面显示ssl客户端为离线状态
8. 
8.1. 提示“执行成功”
8.2. 列表页除了客户端状态为“已关闭”，其余数据未改变。
8.3. 客户端状态为“已关闭”
8.4. 客户端日志页面未产生日志
9. 
9.1. 列表页，客户端状态从&quot;已关闭&quot;变成&quot;已开启&quot;
9.2. 客户端状态为“已开启”
9.3. 客户端日志页面不产生日志
10. 可以正常连接，并且在线状态为在线
11. 客户端日志可正常产生，各信息准确，此时下线时间为空
",""
"5578	","曙光云Stack","/资源中心/网络/虚拟专用网络VPN/SSL客户端(#840)","SSL客户端-修改权限控制","1.已经创建好vpn网关，并且是ssl+ER类型","1. 进入vpn模块，菜单点击顺序：产品与服务->网络->虚拟专用网络VPN->SSL客户端
2. 创建所需要的ssl客户端，表单输入常规信息即可
3. 点击ssl客户端列表页，操作栏对应的修改权限控制按钮（权限控制在vpn虚拟机内部生效）
4. 点击+号，在新弹出的cidr输入框中输入新加入的网段信息，内容可以自定义，如173.3.3.0/24
5. 点击确定
6. 点击ssl客户端列表页，操作栏对应的修改路由控制按钮（路由控制是在VPN客户端生效，影响客户端所在主机的路由）
7. 点击+号，在新弹出的cidr输入框中输入新加入的网段信息，内容可以自定义，如173.3.3.0/24
8. 点击确定
9. 在环境后台master节点执行命令：
sudo su -
source admin-openrc.sh
gova list --name $vpn-网关的名称
10. admin登录云平台，进入基础设施->网络设施->MFIP，根据上一步骤得到的固定IP搜索MFIP
11. 在环境后台master节点执行命令：
ssh -p 22022 root@$vpn网关的mfip
登录密码：admin1234@sugon
12. 在VPN的虚机内执行命令：
ip r
13. 在SSL客户端列表，再次点击修改权限/路由控制按钮
14. 删除刚刚输入的cidr信息
15. 再次点击确定
16. 重复步骤9
","1. 页面可正常跳转，无报错出现
2. 
3. 页面可正常弹出，布局美观合理，初始值显示正确
4. 可成功输入
5. 可以正常保存，提示语提示保存成功
6. 页面可正常弹出，布局美观合理，初始值显示正确
7. 可成功输入
8. 可以正常保存，提示语提示保存成功
9. 得到VPN网关的IP（第9列结果对应的值）
10. 得到VPN网关的MFIP
11. 成功登录到VPN的虚机内
12. 可以看到步骤4中添加的路由
13. 可以查看到刚刚输入的cidr信息
14. 可以正常删除
15. 可以正常保存，提示语提示保存成功
16. VPN虚机内不展示已删除的路由
",""
